absolute_time,edges_covered,crashing_edges_covered
1669265065.34307,127,0
1669265065.346605,127,129
1669265065.3712618,127,135
1669265065.3860638,127,137
1669265065.3895009,127,139
1669265065.402262,127,141
1669265065.40558,127,148
1669265065.922223,127,154
1669265066.215292,127,156
1669265066.2395341,127,164
1669265066.26163,127,166
1669265066.938259,127,168
1669265068.17539,134,168
1669265068.2172852,134,186
1669265068.2392561,134,188
1669265073.397399,134,189
1669265074.680584,134,192
1669265078.7901702,141,192
1669265078.793909,141,194
1669265078.8677099,141,196
1669265079.181519,141,196
